symbol,slug,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,normalized_total_volume_orig,normalized_total_volume_orig_before_max,total_volume,total_volume_before_max,total_volume_orig,total_volume_orig_before_max,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade
XNC,xencoin,XenCoin,0.000280057,2.401e-06,116.6418159100375,116.6418159100375,85.14700069927945,12.109115961521848,14.085522510281438,57.862205009157435,57.862205009157435,7.811488732457685,0.0,1613921.3176752946,0.0,6991.282415549628,0.0,1444459579.3193886,0.0,0,False,False,False,False,False,False,False,2013-07-24
ACP,anarchistsprime,AnarchistsPrime,0.0024825,0.000138509,17.923023052653615,7.084537871242626,6.865890422324861,5.626853537960936,13.1109381352695,7.343907988231562,2.2266806316609715,38.89198038651687,43.939374613333335,115053.02132474782,144051.72444067788,6922.7725088000025,5931.8155728,20479437.79580511,19446982.799491514,2,False,False,False,False,False,False,False,2015-07-13
NXTV,nxtventure,NXTventure,3.70675,0.0962479,38.512528585039256,38.512528585039256,35.682999614940314,4.433957830505642,4.433957830505642,3.474708692273616,3.474708692273616,450.9625687324839,1612.44,422.7324630646253,435.0010116679032,212403.3698729999,1612.44,199106.9901034385,435.0010116679032,1,False,False,False,False,False,False,False,2014-09-23
CNO,coin,Coin(O),0.000376909,4.30444e-06,87.56284208863406,57.69450958541767,29.191050047243603,13.59829869465398,18.740090682078897,18.884320382690117,14.683997576606915,7.092635110545468,19.787715608426964,355363.2144232623,1054234.4233974693,4681.139172960009,3522.2133783,234539721.5193531,187653727.36474955,1,False,False,False,False,False,False,False,2014-03-18
NET,netcoin,NetCoin,0.0296113,9.08471e-05,325.9465629612833,325.9465629612833,77.30420912207055,18.952370526796035,21.732090408257708,17.33266024770146,18.407751224951383,4212.459502929428,15685.94705882353,2465718.4713767096,858750.022564123,3163557.0867000003,266661.10000000003,1851754572.0039089,14598750.383590091,1,False,False,False,False,False,False,False,2013-12-16
SILK,silkcoin,Silkcoin,0.036304,0.000106143,342.0291493551153,342.0291493551153,22.315106215578286,20.597832553391434,30.874397295591653,3.6645279688966013,4.2965083847358985,5096.437061463299,52899.07205882353,514434.66707397165,3621478.891957193,3088440.859246759,1798568.45,311747408.2468268,123130282.32654457,1,False,False,True,False,False,False,False,2014-05-11
FLDC,foldingcoin,FoldingCoin,0.0039704,3.36381e-05,118.03282587304277,118.03282587304277,51.4264546262308,21.028134442999313,21.48916871159614,16.608922133744482,16.62182008662588,199.1388618598327,592.3796520000001,833034.9210236904,251896.96101358635,95188.37596900003,2961.8982600000004,398190692.249324,1259484.8050679318,3,False,False,True,False,False,False,True,2014-09-16
TEK,tekcoin,TEKcoin,0.499135,0.00081015,616.101956427822,616.101956427822,263.5738123904273,10.423746523382956,15.995986641164107,46.14018018539924,55.16535235839634,715.9922990619768,2020.4806802631574,66186.53007718927,6690.147500416574,427447.40254000016,76778.26584999998,39513358.456081994,254225.60501582982,2,False,False,False,False,False,False,False,2014-05-20
PMP,premineplus,PreminePlus,0.037852,0.00032417,116.76589443810346,27.20366816871851,25.972101193212616,3.5164713983014564,20.16631126042037,9.13689357573659,3.0039641985503938,1.1327634584195896,2.0145431371428573,273.4317649282234,467.3144811833052,276.39428385437986,267.93423724,66717.3506424865,62152.825997379594,0,False,False,False,False,False,False,False,2014-10-20
BITSILVER,bitsilver,bitSilver,27.278,13.5745,2.009503112453497,2.009503112453497,1.9735490312405042,1.598850227083941,2.4097440831900228,1.6248650431050595,1.6196237479085096,248.03063001867085,598.6713180738985,14.77440796013867,35.67983866307962,78377.67908589999,35321.607766360015,4668.71291540382,2105.110481121698,1,False,False,False,False,False,False,False,2015-02-25
