symbol,name,children_amount,algorithm,technical,premine,pos
UNC,Unioncoin,0,Quark,0,0,0
MTS,Metiscoin,0,Quark,0,0,0
OFF,Cthulhu Offerings,0,Quark,0,1,0
TBC,Bullcoin,0,Quark,0,1,0
PRT,Particle,0,Quark,0,0,0
DOUG,Dougcoin,0,Quark,0,1,0
MET,Metacoin,0,Quark,0,1,0
SOMA,Somacoin,0,Quark,0,0,0
QB,QuarkBar,0,Quark,0,0,0
SRC,SecureCoin,0,Quark,0,0,0
DIME,DimeCoin,0,Quark,0,1,0
MUE,MonetaryUnit,0,Quark,0,1,0
CL,Copperlark,2,SHA-3,1,1,0
ECN,eCoin,0,SHA-3,0,0,0
MAX,Maxcoin,0,SHA-3,0,0,0
GRD,Gridcoin,0,Scrypt,1,0,0
TGC,Tigercoin,0,SHA-256d,0,0,0
SKC,Skeincoin,1,Multi-algo,1,0,0
XDC,Xedoscoin,0,Multi-algo,0,0,0
ASC,AsicCoin,0,SHA-256d,0,0,0
BET,Betacoin,0,SHA-256d,0,1,0
UNO,Unobtanium,1,SHA-256d,0,0,0
AMK,AmKoin,0,SHA-256d,0,0,0
RKC,ReikiCoin,0,SHA-256d,0,1,0
NYM,Naanayam,0,SHA-256d,0,0,1
Curecoin,Curecoin,0,SHA-256d,0,0,0
HUC,Huntecoin,0,SHA-256d,0,0,0
KMC,Kimcoin,0,Multi-algo,1,0,0
GLB,Globe,0,SHA-256d,0,0,0
SNC,Snowcoin,0,SHA-256d,0,0,1
SSC,Siriuscoin,0,SHA-3,1,1,0
AAC,AllAgesCoin,0,SHA-256d,0,0,0
BLC,Blakecoin,2,SHA-3,1,0,0
PHO,Photon,0,SHA-3,0,0,0
365,365Coin,0,SHA-3,0,0,0
SPICE,Melange,0,Multi-algo,1,1,0
INK,INKcoin,0,Others,1,0,0
LGBT,Rainbowcoin,0,SHA-256d,0,0,0
LOOT,CryptoLoot,0,SHA-256d,0,0,0
TAK,Takeicoin,0,SHA-256d,0,0,0
RIC,Riecoin,0,Others,1,0,0
PWNY,Pwnycoin,0,SHA-256d,0,0,0
LUC,Lusocoin,0,SHA-256d,0,1,0
POD,Podcoin,0,SHA-256d,0,0,0
GAY,Gaycoin,0,SHA-256d,0,0,0
CKE,Cookies,0,SHA-256d,0,1,0
ORO,Orobit,0,SHA-256d,0,0,0
ATC,Altcoin,0,SHA-256d,0,0,0
BEN,Benjamins,0,SHA-256d,0,0,0
HXC,Helixcoin,0,SHA-3,1,1,0
CTD,CateDoge,0,SHA-3,1,1,0
ARS,Arkenstone,0,SHA-256d,0,1,0
BTN,BitcoinNEW,0,SHA-256d,0,0,1
CX,XtraCoin,0,SHA-256d,0,0,1
ABC,AngryBirdsCoin,0,X11,1,1,1
PRO,PAYPRO Coin,0,SHA-256d,0,1,0
EIC,CANTORcoin,0,SHA-256d,0,0,1
ChC,CHARONscoin,0,Multi-algo,1,0,1
BULL,BlueBullCoin,0,SHA-256d,0,0,0
GSY,GenesysCoin,0,SHA256,1,0,1
ODNT,Old Dogs New Tricks,0,SHA256d,1,0,1
PHR,#PHREAK,0,,1,0,1
STEPS,STEPS,0,,1,0,1
LOG,Woodcoin,0,Skein,1,0,1
GUINEA,Guinea,0,SHA-256d,0,0,1
SOV,Sovereign,0,SHA-256d,0,0,1
eTaler,Electric Taler,0,SHA-256d,0,0,1
BTCD,BitcoinDark,0,SHA-256d,0,0,1
ACOIN,Acoin,0,SHA-256d,0,0,1
TTY,Trinity,0,Multi-algo,1,1,1
UBTC,Umbrella-BTC,0,SHA-256d,0,0,1
BTI,Instant Coin,0,SHA-256d,0,0,1
YLC,YellowLionCoin,1,SHA-256d,0,0,0
PAC,Pleiades Coin,0,SHA-256d,0,0,0
SSD,SonicScrewdriver,0,SHA-256d,0,0,1
DRX,Darkfox,0,SHA-256d,0,1,1
NEOS,Neoscoin IPO,0,Multi-algo,1,1,0
ASD,ASDCoin,0,SHA-256d,0,1,0
REB,Rebirthcoin,0,SHA-256d,0,0,0
BIG,BIGBullion,0,SHA-256d,0,1,0
XMG,Magi,0,SHA-256d,0,0,1
AXR,Axron,0,Others,1,1,1
MOBI,MobiusCoin,0,SHA-256d,0,0,0
NODE,NODECoin,0,SHA-256d,0,0,1
WWC,WorldWideCoin,0,SHA-256d,0,0,0
AU,Aurumcoin,0,SHA-256d,0,1,1
