coin, max_price, min_price, severity_to_min_price, severity_to_min_price_after_max, severity_to_last, severity_to_average, severity_to_average_after_max, severity_to_average_volume_weighted, severity_to_average_after_max_volume_weighted
HTML5, 0.00055, 2.003e-05, 27.4588117823, 27.4588117823, 27.4588117823, 2.84168302787, 3.01728446836, 2.39908408736, 2.70487057819
MTC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PINK, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
SDC, 0.00075002, 2.31e-06, 324.683982684, 2.77785185185, 2.37927862196, 2.28135552169, 1.60198680453, 2.13837020661, 1.50761103582
ARI, 1.8e-06, 1.8e-07, 10.0, 10.0, 9.0, 2.82371709652, 2.83502835028, 3.29127802154, 3.35020467095
TRUST, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
NYAN, 1.47e-06, 1e-08, 147.0, 147.0, 5.65384615385, 5.92519009075, 6.61030792339, 5.5536366638, 7.00247850685
WDC, 0.00106, 4e-08, 26500.0, 26500.0, 42.9149797571, 12.251825567, 12.251825567, 11.7363774619, 11.7363774619
TIX, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TIT, 3.2e-05, 9.6e-07, 33.3333333333, 33.3333333333, 25.0, 10.1684253907, 11.477066074, 11.540250581, 13.9395600113
GSX, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
XJO, 6.874e-05, 6.6e-07, 104.151515152, 104.151515152, 102.597014925, 12.0041529225, 12.4052924917, 9.84782503054, 10.4267226649
NAS, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
CCN, 8.015e-05, 1.125e-05, 7.12444444444, 7.12444444444, 3.70550161812, 2.554474545, 2.89104985839, 2.47279276058, 2.61096761291
NAV, 3.239e-05, 1.8e-06, 17.9944444444, 5.82553956835, 4.56197183099, 2.71699882124, 2.20555128817, 2.20481560359, 2.12258820521
BOB, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
SHLD, 0.00017, 2.01e-06, 84.5771144279, 84.5771144279, 26.1941448382, 13.2064922288, 13.2064922288, 9.87403513679, 9.87403513679
XBOT, 0.0002675, 2.1e-07, 1273.80952381, 1273.80952381, 122.706422018, 14.6214237824, 25.3293654043, 43.8949368274, 52.0581002266
APEX, 2.647e-05, 1.85e-06, 14.3081081081, 11.5086956522, 4.88376383764, 3.93817976606, 4.68615973273, 4.37072830804, 4.97726709363
MYR, 5.61e-06, 4e-08, 140.25, 140.25, 35.0625, 8.3453361425, 8.3453361425, 12.9621858429, 12.9621858429
UIS, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
LYC, 9.8e-07, 1e-08, 98.0, 98.0, 32.6666666667, 13.0564263323, 14.2438438438, 16.1788044862, 16.7251887027
IOC, 0.00013181, 4.04e-06, 32.6262376238, 6.09103512015, 2.75292397661, 4.47710978205, 2.45021835729, 5.08204818056, 2.47972902723
NXT, 0.00012222, 2e-08, 6111.0, 6111.0, 3.83736263736, 2.18511854268, 2.22856876368, 1.91987184947, 1.92584880665
BQC, 0.00015, 9.6e-07, 156.25, 156.25, 111.111111111, 11.3412764015, 13.762567592, 9.60094364124, 10.0854153911
CRAIG, 1.4e-05, 2e-07, 70.0, 70.0, 31.1111111111, 10.1932231868, 10.1932231868, 14.0339119031, 14.0339119031
OC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BVC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
CXC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BCX, 3.097e-05, 6.7e-07, 46.223880597, 46.223880597, 33.3010752688, 8.41486162629, 9.02885368251, 4.76506230473, 5.69006197993
