symbol,name,ann
MIL,Millionaire Coin,https://bitcointalk.org/index.php?topic=633914.0
PIGGY,New Piggycoin,https://bitcointalk.org/index.php?topic=633803.0
BOOTY,TreasureHuntCoin,https://bitcointalk.org/index.php?topic=629372.0
LIN,Linearcoin,https://bitcointalk.org/index.php?topic=634063.0
SND,Soundcoin,https://bitcointalk.org/index.php?topic=598874.0
BBL,BitBlock,https://bitcointalk.org/index.php?topic=665159.0
FIRE,Firecoin,https://bitcointalk.org/index.php?topic=702951.0
CORE,CORE,https://bitcointalk.org/index.php?topic=962125.0
ALEA,Aleacoin,https://bitcointalk.org/index.php?topic=645938.0
ISIS,Isiscoin,https://bitcointalk.org/index.php?topic=675509.0
Dino,DinosaurCoin,https://bitcointalk.org/index.php?topic=678073.0
POS,PosCoin,https://bitcointalk.org/index.php?topic=680769.0
ANG,AngelCoin,https://bitcointalk.org/index.php?topic=681111.0
COF,CoffeeCoin,https://bitcointalk.org/index.php?topic=684675.0
SPATA,Spartacus,https://bitcointalk.org/index.php?topic=691134.0
BACK,Backpacker,https://bitcointalk.org/index.php?topic=693973.0
MInC,MinersCoin,https://bitcointalk.org/index.php?topic=766157.0
LIZE,Lizarde,https://bitcointalk.org/index.php?topic=683741.0
NHC,Neverhoodcoin,https://bitcointalk.org/index.php?topic=702466.0
City,CityCoin,https://bitcointalk.org/index.php?topic=704271.0
FBIT,FileBit,http://www.forum.filebit.me
LIMI,LimiCoin,https://bitcointalk.org/index.php?topic=715336.0
CRYSTAL,CrystalCoin,https://bitcointalk.org/index.php?topic=715316.0
BBC,BigBangCoin,https://bitcointalk.org/index.php?topic=716901.0
OT,OverTime,https://bitcointalk.org/index.php?topic=736588.0
XDE,DoubleEagle,https://bitcointalk.org/index.php?topic=736702.0
NMB,Nimbus,https://bitcointalk.org/index.php?topic=622323.0
GRYF,GryfenCoin,http://talk.gryfenco.in
VLT,VolatilityCoin,https://bitcointalk.org/index.php?topic=776463.0
HTML5,Swapping,https://bitcointalk.org/index.php?topic=801489.0
B1bl3,B1bl3Coin,https://bitcointalk.org/index.php?topic=827734.0
U,UCoin,https://bitcointalk.org/index.php?topic=855541.0
SRZ,SuarezCoin,https://bitcointalk.org/index.php?topic=672109.0
RW,RedWire,https://bitcointalk.org/index.php?topic=675416.0
XAN,Xanoncoin,https://bitcointalk.org/index.php?topic=689866.0
FVZ,FVZcoin,https://bitcointalk.org/index.php?topic=686225.0
