symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted,nontrivial
BLK,BlackCoin,0.000560153,4.80995e-06,116.457135729,10.3388557275,5.22618536695,4.39070309836,4.14861050114,2.10522300565,1.92862922337,91681104,18,False,False,True,True,True,True,True,2014-02-28,2014-02-28,2014-05-08,Soepkip,1,49,1,1085,130,105,25,0.01249844,0.001642203,0.001644056,0.0001445471,2.508872e-05,0.0001445596,2.508884e-05,491230.0,3.0,7.687533e-05,6.719455e-05,0.0001579381,0.0001504201,0.0
BLC,Blakecoin,0.00019914,3.96e-06,50.2878787879,50.2878787879,50.2878787879,10.5860460616,10.9414412262,4.21342574118,4.42508367611,131048,2,False,False,False,False,False,False,True,2014-02-12,2014-02-12,2013-10-08,BlueDragon747,1,332,3,49,26,24,2,0.04615385,0.009243444,0.009318757,0.0007090596,8.910376e-05,0.0007095117,8.910673e-05,113.0,4.0,2.293532e-05,1.879327e-05,6.656068e-05,5.929914e-05,1.0
COOL,CoolCoin,7.3e-07,5.97474e-08,12.2181048882,2.35483870968,2.35483870968,2.28142574404,1.46606648199,1.93288713361,1.47711447553,227324,2,False,False,False,True,False,False,False,2014-06-28,2014-06-28,2014-05-09,CoolloveCoin,1,10,2,1,1,1,0,0.0,0.001631912,0.001636026,1.890431e-05,1.890395e-05,1.890431e-05,1.890395e-05,0.0,inf,1.329192e-06,1.173388e-06,5.210922e-06,4.947924e-06,0.0
HYPER,Hyper,0.000388272,3.02217e-06,128.474572906,3.61015341702,1.9210924744,2.84785151732,2.22824149327,2.54210360018,1.75573478516,514854,1,False,False,False,False,False,False,True,2014-05-31,2014-05-31,2013-05-31,shakezula,1,1101,25,40,275,153,122,0.1295876,0.01272367,0.0129043,0.000889105,0.0001209835,0.0008898568,0.0001209885,510478.0,3.0,0.0002682637,0.0002852027,0.0006879517,0.0007940856,0.0
MI,Xiaomicoin,1.46022e-06,1.8672e-07,7.82037275064,7.82037275064,1.82732160019,2.07491103139,2.07491103139,1.61704747708,1.61704747708,35577,2,False,False,False,False,False,False,False,2015-09-04,2015-09-04,2015-06-12,xiaomicoin,1,5,1,1,4,4,0,0.0,0.001089816,0.001091093,8.54239e-05,1.336148e-05,8.542855e-05,1.336148e-05,0.0,4.0,1.248521e-06,1.137944e-06,4.728767e-06,4.64618e-06,0.0
EMC2,Einsteinium,7.20995e-06,1.24732e-07,57.80353077,57.80353077,24.0185153723,6.57934799095,7.4920248911,1.89493686952,2.51348970054,642101,5,False,False,True,True,False,False,True,2014-04-09,2014-04-09,2014-03-02,einsteinium,1,71,4,1,71,71,0,0.02052314,0.002100644,0.002103908,0.0002249608,2.356712e-05,0.0002249965,2.356712e-05,0.0,4.0,2.578189e-05,2.248343e-05,8.418175e-05,7.896114e-05,0.0
OPAL,Opal,5.59179e-05,1.88002e-06,29.7432474123,5.27114617799,5.27114617799,2.68984814446,2.15745686675,1.86256285034,1.53621793849,453092,3,False,False,True,True,False,False,True,2014-09-13,2014-09-13,2014-09-12,OpalTeam,1,15,3,11,23,22,1,0.03162055,0.00134003,0.001341588,0.0001061967,2.021029e-05,0.0001062061,2.021038e-05,2695.639,4.0,3.158004e-06,3.002888e-06,1.077821e-05,1.10845e-05,0.0
DON,Donationcoin,1.00853e-06,1.02043e-08,98.8338249561,98.8338249561,7.75792307692,12.3979354363,13.9874409147,3.68027118858,4.61994118891,1227,1,False,False,False,False,False,False,False,2014-06-15,2014-06-15,2014-04-22,Donationcoin,1,230,11,2,16,16,0,0.03333333,0.001663081,0.001665531,0.0001622125,1.993581e-05,0.0001622282,1.993581e-05,0.0,4.0,4.582864e-06,3.993191e-06,1.52779e-05,1.453967e-05,0.0
CRYPT,CryptCoin,0.00200866,8.55909e-06,234.681490672,234.681490672,158.773545383,26.9817221607,33.0107836837,1.64439324368,1.4743833982,12869712,3,False,False,False,True,False,False,True,2014-05-26,2014-05-26,2014-05-21,ccryptcoin,1,21,1,1,6,6,0,0.0,0.001595781,0.001598301,0.0001341779,1.821626e-05,0.0001341966,1.821626e-05,0.0,4.0,2.081398e-06,1.86482e-06,7.275877e-06,7.014574e-06,0.0
GLC,GlobalCoin,4.37546e-05,3.10189e-07,141.057871169,141.057871169,72.9243333333,14.8793968301,16.562175528,3.28525361381,3.28525361381,791673,1,False,False,False,True,False,False,False,2013-08-04,2013-08-04,2013-06-29,erundook,1,703,31,51,194,172,22,0.1011334,0.01126109,0.01141475,0.0008651538,0.0001090549,0.0008659027,0.0001090584,51195.0,3.0,0.000348576,0.0003253107,0.0009473942,0.0009405015,0.0
