symbol,name,url
OK,OKCash,https://bitcointalk.org/index.php?topic=1028368.0
QDOS,Quedos,https://bitcointalk.org/index.php?topic=1254606.0
BCN,Bytecoin,https://bitcointalk.org/index.php?topic=512747.0
OC,OrangeCoin,https://bitcointalk.org/index.php?topic=581894.0
BVC,BeaverCoin,https://bitcointalk.org/index.php?topic=761269.0
MAID,MaidSafeCoin,https://bitcointalk.org/index.php?topic=577149.0
NTRN,Neutron,https://bitcointalk.org/index.php?topic=1037272.0
FETISH,Fetish,https://bitcointalk.org/index.php?topic=789338.0
CRAIG,CraigsCoin,https://bitcointalk.org/index.php?topic=780334.0
JUDGE,Judgecoin,https://bitcointalk.org/index.php?topic=666335.0
BTCRY,BitCrystal,https://bitcointalk.org/index.php?topic=966861.0
ICASH,iCash,https://bitcointalk.org/index.php?topic=996567.0
HZ,Horizon,https://bitcointalk.org/index.php?topic=823785.0
XST,Stealthcoin,https://bitcointalk.org/index.php?topic=624726.0
CLOAK,CloakCoin,https://bitcointalk.org/index.php?topic=637704.0
DEM,Deutsche eMark,https://bitcointalk.org/index.php?topic=310939.0
QSLV,Quicksilver,https://bitcointalk.org/index.php?topic=842240.0
XSI,StabilityShares,https://bitcointalk.org/index.php?topic=572508.0
VIOR,Viorcoin,https://bitcointalk.org/index.php?topic=1053087.0
BLOCK,Blocknet,https://bitcointalk.org/index.php?topic=829576.0
ICN,iCoin,https://bitcointalk.org/index.php?topic=407866.0
PTC,Pesetacoin,https://bitcointalk.org/index.php?topic=403378.0
ROX,ROXcoin,https://bitcointalk.org/index.php?topic=668876.0
AMS,AmsterdamCoin,https://bitcointalk.org/index.php?topic=1152947.0
PTS,BitShares PTS,https://bitcointalk.org/index.php?topic=325261.0
MNE,Munne,https://bitcointalk.org/index.php?topic=797828.0
TRI,Triangles,https://bitcointalk.org/index.php?topic=697634.0
TRK,Truckcoin,https://bitcointalk.org/index.php?topic=716182.0
RBT,Rimbit,https://bitcointalk.org/index.php?topic=576704.0
TRL,Trollcoin,https://bitcointalk.org/index.php?topic=452810.0
BCENT,BitCent,https://bitcointalk.org/index.php?topic=933688.0
CAPT,CAPTcoin,https://bitcointalk.org/index.php?topic=683776.0
TRC,Terracoin,https://bitcointalk.org/index.php?topic=121405.0
USDT,Tether,https://bitcointalk.org/index.php?topic=926366.0
KOBO,Kobocoin,https://bitcointalk.org/index.php?topic=920290.0
SLR,SolarCoin,https://bitcointalk.org/index.php?topic=429119.0
USDe,USDe,https://bitcointalk.org/index.php?topic=410254.0
TIT,Titcoin,https://bitcointalk.org/index.php?topic=660482.0
MYST,MysteryCoin,https://bitcointalk.org/index.php?topic=939935.0
ENRG,Energycoin,https://bitcointalk.org/index.php?topic=589008.0
NOXT,NobleNXT,https://bitcointalk.org/index.php?topic=841741.0
XCO,X-Coin,https://bitcointalk.org/index.php?topic=969896.0
IVZ,InvisibleCoin,https://bitcointalk.org/index.php?topic=1204574.0
SCOT,Scotcoin,https://bitcointalk.org/index.php?topic=563977.0
FLY,Flycoin,https://bitcointalk.org/index.php?topic=1154550.0
SHND,StrongHands,https://bitcointalk.org/index.php?topic=1195510.0
ACP,AnarchistsPrime,https://bitcointalk.org/index.php?topic=1001407.0
NEU,NeuCoin,https://bitcointalk.org/index.php?topic=944933.0
FLDC,FoldingCoin,https://bitcointalk.org/index.php?topic=781352.0
PMP,PreminePlus,https://bitcointalk.org/index.php?topic=673760.0
BITSILVER,bitSilver,https://bitcointalk.org/index.php?topic=924481.0
GEMZ,GetGems,https://bitcointalk.org/index.php?topic=758004.0
GRAV,Graviton,https://bitcointalk.org/index.php?topic=1045089.0
BKS,BlockShares,https://bitcointalk.org/index.php?topic=1033773.0
TES,TeslaCoin,https://bitcointalk.org/index.php?topic=419494.0
DEBUNE,DeBuNe,https://bitcointalk.org/index.php?topic=908242.0
RBBT,RabbitCoin,https://bitcointalk.org/index.php?topic=466621.0
J,Joincoin,https://bitcointalk.org/index.php?topic=737405.0
IRL,IrishCoin,https://bitcointalk.org/index.php?topic=612983.0
SJW,SJWCoin,https://bitcointalk.org/index.php?topic=1094489.0
ADD,AdderalCoin,https://bitcointalk.org/index.php?topic=708718.0
ADC,AudioCoin,https://bitcointalk.org/index.php?topic=1074782.0
DIEM,CarpeDiemCoin,https://bitcointalk.org/index.php?topic=513599.0
ADN,Aiden,https://bitcointalk.org/index.php?topic=558414.0
ELT,Electron,https://bitcointalk.org/index.php?topic=624595.0
MED,MediterraneanCoin,https://bitcointalk.org/index.php?topic=397831.0
OZC,Ozziecoin,https://bitcointalk.org/index.php?topic=578881.0
MEM,Memecoin,https://bitcointalk.org/index.php?topic=217526.0
XEM,NEM,https://bitcointalk.org/index.php?topic=654845.0
NAUT,NautilusCoin,https://bitcointalk.org/index.php?topic=591114.0
SMLY,SmileyCoin,https://bitcointalk.org/index.php?topic=845761.0
LEO,LEOcoin,https://bitcointalk.org/index.php?topic=917232.0
CIRC,CryptoCircuits,https://bitcointalk.org/index.php?topic=1076404.0
GDC,GrandCoin,https://bitcointalk.org/index.php?topic=255629.0
CREVA,CrevaCoin,https://bitcointalk.org/index.php?topic=1057102.0
STHR,Stakerush,https://bitcointalk.org/index.php?topic=1161629.0
BRC,Biebercoin,https://bitcointalk.org/index.php?topic=636530.0
VIRAL,Viral,https://bitcointalk.org/index.php?topic=1041025.0
XWT,World Trade Funds,https://bitcointalk.org/index.php?topic=828967.0
SWING,Swing,https://bitcointalk.org/index.php?topic=1164721.0
MSC,Mastercoin,https://bitcointalk.org/index.php?topic=242406.0
XWC,WhiteCoin,https://bitcointalk.org/index.php?topic=804288.0
EAC,EarthCoin,https://bitcointalk.org/index.php?topic=379236.0
PXI,Prime-XI,https://bitcointalk.org/index.php?topic=701871.0
PXL,Phalanx,https://bitcointalk.org/index.php?topic=984124.0
DEX,InstantDEX,https://bitcointalk.org/index.php?topic=684090.0
AC,AsiaCoin,https://bitcointalk.org/index.php?topic=595999.0
CUBE,DigiCube,https://bitcointalk.org/index.php?topic=1211692.0
TRON,Positron,https://bitcointalk.org/index.php?topic=1021029.0
SPACE,SpaceCoin,https://bitcointalk.org/index.php?topic=1166804.0
ICB,IcebergCoin,https://bitcointalk.org/index.php?topic=673524.0
AM,AeroMe,https://bitcointalk.org/index.php?topic=955204.0
START,Startcoin,https://bitcointalk.org/index.php?topic=651307.0
CNO,Coin(O),https://bitcointalk.org/index.php?topic=419873.0
CNL,ConcealCoin,https://bitcointalk.org/index.php?topic=700289.0
NKA,IncaKoin,https://bitcointalk.org/index.php?topic=933851.0
KGC,Krugercoin,https://bitcointalk.org/index.php?topic=246803.0
NKT,Nakas,https://bitcointalk.org/index.php?topic=896354.0
SUPER,SuperCoin,https://bitcointalk.org/index.php?topic=618552.0
