coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_weighted,user1_pagerank_weighted
RBT,2014-10-26,2014-07-06,rimbit,1,9,1,393,3,1,2,0.0,0.001475519,0.001477975,0.000117261,2.204794e-05,0.0001172691,2.204808e-05,6.0,5,3.838915e-06,1.339764e-05
RBR,2015-01-23,2015-01-20,Swisscex,1,66,1,351,47,9,38,0.0212766,0.001171977,0.001173052,9.399728e-05,1.865404e-05,9.400288e-05,1.865408e-05,2780.401,4,9.736753e-06,3.088253e-05
SLR,2014-03-29,2014-01-13,sib01,1,20,1,1,3,3,0,0.0,0.003696634,0.003709273,0.0003631482,3.464163e-05,0.0003632419,3.464163e-05,0.0,4,2.743719e-06,1.012997e-05
MLS,2014-09-17,2014-08-01,mozzria,1,60,3,1,1,1,0,0.0,1.620457e-05,1.620457e-05,1.620457e-05,1.62043e-05,1.620457e-05,1.62043e-05,0.0,inf,1.646417e-06,6.908754e-06
SLG,2014-09-23,2014-08-03,Sterlingcoin,1,297,1,1,18,18,0,0.0130719,0.001436302,0.001438005,0.0001120604,1.616501e-05,0.0001120675,1.616501e-05,0.0,4,5.088879e-06,2.012894e-05
U,2014-11-16,2010-08-07,gridecon,1,21,3,1,10,9,1,0.4222222,0.2231156,0.2429947,0.02252892,0.007848683,0.02265749,0.007855117,97.5,2,0.00273451,0.004514736
MCN,2014-08-25,2014-06-16,cryptomidnight,1,105,3,1,6,6,0,0.1333333,0.001558793,0.001560892,0.0001248788,1.73596e-05,0.0001248872,1.73596e-05,0.0,5,2.938337e-06,1.007036e-05
NRB,2013-07-04,2013-05-31,solracx,1,327,23,30,29,24,5,0.1551724,0.0126786,0.0128568,0.0008889048,0.0001209799,0.0008896666,0.0001209841,45.00873,3,3.478702e-05,8.880966e-05
JPC,2014-05-21,2013-12-30,MiWCryptoCurrencyMA,1,8,2,9,2,1,1,0.0,0.004431401,0.004449619,0.0004303124,5.512687e-05,0.000430427,5.512765e-05,86.2,4,3.491069e-06,1.275193e-05
HUC,2014-02-14,2013-01-02,xorxor,1,481,12,1,8,8,0,0.3214286,0.0270035,0.02768001,0.001430531,0.0001580278,0.0014323,0.0001580278,0.0,3,3.644596e-05,9.089704e-05
