Coin,Coin-href,Name,hashing_algorithm,genesis_date,market_capitalization,hashrate,block_time,available/total_supply,repo_stars/forks/watches,bing_results,alexa_ranking
"Unobtanium","https://www.coingecko.com/en/coins/unobtanium","Unobtanium","SHA-256","October 18, 2013 (about 2 years)","$273,896.04","1.26 PH/s","3.0 Minute","196 Thousand
                      /
                      250 Thousand","","",""
"Techcoin","https://www.coingecko.com/en/coins/techcoin","Techcoin","X13","June 24, 2014 (over 1 year)","","N/A","5.0 Minute","null","","",""
"IOCoin","https://www.coingecko.com/en/coins/iocoin","IOCoin","Proof of Stake","July 24, 2014 (over 1 year)","$195,120.43","N/A","1.0 Minute","16.2 Million
                      /
                      16 Million","","",""
"Sterlingcoin","https://www.coingecko.com/en/coins/sterlingcoin","Sterlingcoin","X13","September 21, 2014 (about 1 year)","$32,196.45","N/A","2.0 Minute","3.88 Million
                      /
                      4 Million","","",""
"BitcoinDark","https://www.coingecko.com/en/coins/bitcoindark","BitcoinDark","null","null","$900,462.20","N/A","1.0 Minute","1.24 Million
                      /
                      22 Million","","",""
"Curecoin","https://www.coingecko.com/en/coins/curecoin","Curecoin","null","null","$284,590.30","N/A","null","null","","",""
"Bytecoin","https://www.coingecko.com/en/coins/bytecoin","Bytecoin","Cryptonight","July  4, 2012 (over 3 years)","$4,206,711.00","N/A","2.0 Minute","178 Billion
                      /
                      184 Billion","","",""
"Megacoin","https://www.coingecko.com/en/coins/megacoin","Megacoin","Scrypt","June  1, 2013 (over 2 years)","$557,188.77","7.33 GH/s","2.5 Minute","31.3 Million
                      /
                      42 Million","","",""
"Dirac","https://www.coingecko.com/en/coins/dirac","Dirac","Blake-256","May 19, 2014 (over 1 year)","$1,478.21","N/A","3.0 Minute","452 Thousand
                      /
                      2.27 Million","","",""
"QuazarCoin","https://www.coingecko.com/en/coins/quazarcoin","QuazarCoin","Cryptonight","May  8, 2014 (over 1 year)","$4,526.78","N/A","2.0 Minute","3.15 Million
                      /
                      18.4 Million","","",""
"MonaCoin","https://www.coingecko.com/en/coins/monacoin","MonaCoin","Scrypt","January  1, 2014 (almost 2 years)","$1,634,945.95","N/A","1.5 Minute","25.5 Million
                      /
                      105 Million","","",""
"FIMKrypto","https://www.coingecko.com/en/coins/fimkrypto","FIMKrypto","Proof of Stake","July  1, 2014 (over 1 year)","$120,392.47","N/A","0.5 Minute","454 Million
                      /
                      666 Million","","",""
"NXT","https://www.coingecko.com/en/coins/nxt","NXT","Proof of Stake","November 24, 2013 (about 2 years)","$5,882,272.63","N/A","1.0 Minute","1000 Million
                      /
                      1 Billion","","",""
"BlackCoin","https://www.coingecko.com/en/coins/blackcoin","BlackCoin","Proof of Stake","February 24, 2014 (almost 2 years)","$1,807,271.83","N/A","1.067 Minute","75.1 Million
                      /
                      100 Million","","",""
"Digitalcoin","https://www.coingecko.com/en/coins/digitalcoin","Digitalcoin","Multiple Algorithms","May 20, 2013 (over 2 years)","$282,801.49","N/A","0.67 Minute","28.3 Million
                      /
                      48.2 Million","","",""
"Mastercoin (Omni)","https://www.coingecko.com/en/coins/mastercoin","Mastercoin (Omni)","SHA-256","August 31, 2013 (over 2 years)","$1,109,680.94","N/A","10.0 Minute","549 Thousand
                      /
                      563 Thousand","","",""
"HellasCoin","https://www.coingecko.com/en/coins/hellascoin","HellasCoin","null","July  1, 2014 (over 1 year)","","N/A","null","null","","",""
"Nautiluscoin","https://www.coingecko.com/en/coins/nautiluscoin","Nautiluscoin","Scrypt","May  1, 2014 (over 1 year)","$664,283.24","406 MH/s","1.0 Minute","5.82 Million
                      /
                      16.2 Million","","",""
"NEM","https://www.coingecko.com/en/coins/nem","NEM","Proof of Importance","March 31, 2015 (8 months)","$905,071.47","N/A","1.0 Minute","9 Billion
                      /
                      9 Billion","","",""
"Rimbit","https://www.coingecko.com/en/coins/rimbit","null","null","null","null","null","null","null","","",""
"Cloakcoin","https://www.coingecko.com/en/coins/cloakcoin","Cloakcoin","X13","June  3, 2014 (over 1 year)","$197,170.11","N/A","1.0 Minute","4.6 Million
                      /
                      4.5 Million","","",""
"BitBay","https://www.coingecko.com/en/coins/bitbay","BitBay","Proof of Stake","November 10, 2014 (about 1 year)","$187,922.99","N/A","1.067 Minute","null","","",""
"Faircoin","https://www.coingecko.com/en/coins/faircoin","Faircoin","Proof of Stake","March  4, 2014 (almost 2 years)","$280,649.73","N/A","3.3 Minute","null","","",""
"Crypto","https://www.coingecko.com/en/coins/crypto","Crypto","Lyra2RE","April 30, 2015 (7 months)","$314.42","N/A","0.5 Minute","2.91 Million
                      /
                      65.8 Million","","",""
"FIMKrypto","https://www.coingecko.com/en/coins/fimkrypto","FIMKrypto","Proof of Stake","July  1, 2014 (over 1 year)","$120,392.47","N/A","0.5 Minute","454 Million
                      /
                      666 Million","","",""
"Counterparty","https://www.coingecko.com/en/coins/counterparty","Counterparty","SHA-256","January  2, 2014 (almost 2 years)","$1,790,035.47","N/A","10.0 Minute","2.63 Million
                      /
                      2.65 Million","","",""
"Virtacoin","https://www.coingecko.com/en/coins/virtacoin","Virtacoin","Scrypt","May 30, 2014 (over 1 year)","$162,333.38","N/A","1.0 Minute","11.6 Billion
                      /
                      21 Billion","","",""
"Karma","https://www.coingecko.com/en/coins/karma","Karma","Scrypt","February  4, 2014 (almost 2 years)","$19,402.15","N/A","1.0 Minute","69.3 Billion
                      /
                      92 Billion","","",""
"GlowShares","https://www.coingecko.com/en/coins/glowshares","GlowShares","Proof of Stake","November 18, 2014 (about 1 year)","","N/A","1.0 Minute","null","","",""
"Diamond","https://www.coingecko.com/en/coins/diamond","Diamond","Groestl","July 13, 2013 (over 2 years)","$355,619.94","3.11 GH/s","1.0 Minute","1.4 Million
                      /
                      4.38 Million","","",""
"Clams","https://www.coingecko.com/en/coins/clams","Clams","Proof of Stake","May 15, 2014 (over 1 year)","$633,995.57","N/A","1.0 Minute","1.08 Million
                      /
                      15 Million","","",""
"Einsteinium","https://www.coingecko.com/en/coins/einsteinium","Einsteinium","Scrypt","March  1, 2014 (almost 2 years)","$14,838.36","47.8 MH/s","1.0 Minute","176 Million
                      /
                      300 Million","","",""
"Titcoin","https://www.coingecko.com/en/coins/titcoin","Titcoin","SHA-256","June 21, 2014 (over 1 year)","$18,352.83","N/A","1.0 Minute","38.2 Million
                      /
                      69 Million","","",""
"Bytecoin","https://www.coingecko.com/en/coins/bytecoin","Bytecoin","Cryptonight","July  4, 2012 (over 3 years)","$4,206,711.00","N/A","2.0 Minute","178 Billion
                      /
                      184 Billion","","",""
"Startcoin","https://www.coingecko.com/en/coins/startcoin","Startcoin","X11","July 19, 2014 (over 1 year)","$886,905.59","18.6 GH/s","1.0 Minute","35 Million
                      /
                      84 Million","","",""
