coin,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
VTA,2014-08-09,2014-07-02,2014-08-09,misocialnetwork,1,26,1,92
SLFI,2015-03-22,2015-03-05,2015-03-22,freedomsr40,1,149,7,175
AMS,2015-08-20,2015-08-14,2015-08-20,keesdewit,1,91,2,59
WBB,2015-02-28,2015-02-11,2015-02-28,WildBeastBitcoin,1,68,1,17
DUCK,2014-02-22,2014-02-04,2014-02-22,mainduck,1,42,1,18
DT,2014-09-17,2014-09-16,2014-09-17,darktoken,1,4,1,1
DP,2014-10-04,2014-09-20,2014-10-04,7vpo,1,76,2,232
CESC,2014-04-03,2014-03-29,2014-04-03,play,1,5,1,127
CYP,2015-04-11,2015-03-29,2015-04-11,Cypher7A69,1,53,1,13
CYT,2015-09-21,2015-09-10,2015-09-21,Crypt0ken,1,102,1,11
POT,2014-02-09,2014-01-17,2014-02-09,PotCoin,1,23,6,23
POP,2014-04-23,2014-01-29,2014-04-23,inmean,1,100,5,84
CYC,2014-07-05,2014-04-29,2014-07-05,Cryddit,1,354,16,311
TGC,2013-12-21,2013-09-06,2013-12-21,mintedstone,1,52,1,111
RPC,2014-01-06,2013-12-28,2014-01-06,colinistheman,1,211,24,211
TIPS,2013-12-31,2013-05-26,2013-12-31,maxpower,1,226,2,239
NODE,2014-09-13,2010-01-11,2014-09-13,The Madhatter,1,163,8,1706
BITGOLD,2015-01-04,2011-05-07,2015-01-04,jtimon,1,505,12,1444
RBY,2014-03-20,2014-02-11,2014-03-20,rby,1,7,1,42
BITBTC,2014-09-23,2015-03-10,2014-09-23,Newmine,1,103,2,269
DOPE,2014-02-22,2014-01-21,2014-02-22,dopey,1,277,12,67
SDC,2014-07-31,2014-08-18,2014-07-31,sdcoin,1,28,2,14
LSD,2014-09-13,2014-09-04,2014-09-13,lightspeedLS,1,45,1,9
SLR,2014-03-29,2014-01-12,2014-03-29,sib01,1,19,1,76
SLG,2014-09-23,2014-08-02,2014-09-23,Sterlingcoin,1,297,1,52
MCN,2014-08-25,2014-06-15,2014-08-25,cryptomidnight,1,105,3,71
DICE,2014-11-08,2014-07-09,2014-11-08,Azeh,1,96,4,250
NRB,2013-07-04,2013-05-30,2013-07-04,solracx,1,327,23,64
HUC,2014-02-14,2013-01-01,2014-02-14,xorxor,1,481,12,409
LGD,2014-04-27,2014-03-25,2014-04-27,legendarycoin,1,85,2,33
QB,2014-05-26,2014-02-26,2014-05-26,QuarkBar,1,26,1,89
BDSM,2014-10-20,2014-09-19,2014-10-20,altcoin.center,1,51,3,42
NRS,2014-04-20,2014-02-13,2014-04-20,barwizi,1,2065,151,347
XGR,2014-06-28,2014-06-05,2014-06-28,Mesterlovesz74,1,177,2,158
$$$,2015-11-12,2011-08-04,2015-11-12,Blackout,1,79,7,1561
AXR,2014-08-27,2014-08-14,2014-08-27,Project Axron,1,118,1,13
EXE,2014-03-10,2014-02-27,2014-03-10,execoin,1,60,1,11
EXC,2014-01-16,2013-01-01,2014-01-16,xorxor,1,481,12,380
CKC,2014-09-19,2014-12-25,2014-09-19,DUMPcoin,1,0,0,-97
MUSE,2015-05-06,2011-07-04,2015-05-06,beeph,1,75,4,1431
SWARM,2014-09-16,2010-07-24,2014-09-16,NewLibertyStandard,1,149,12,1701
HBN,2013-12-20,2013-01-01,2013-12-20,xorxor,1,470,12,353
WS,2015-07-02,2015-04-12,2015-07-02,KrLos,1,227,7,866
EXP,2015-09-15,2015-08-10,2015-09-15,CryptoClub,1,713,3,556
LQD,2015-02-06,2015-02-07,2015-02-06,Geenstijl,1,212,10,432
PAK,2015-09-15,2015-06-22,2015-09-15,drwatson84,1,54,1,85
IBITS,2015-07-27,2015-07-13,2015-07-27,iBITS,1,1,1,14
TCO,2014-07-21,2014-04-29,2014-07-21,Cryddit,1,357,16,327
VNL,2015-03-05,2014-12-12,2015-03-05,john-connor,1,76,4,83
RIN,2014-08-02,2014-05-23,2014-08-02,homhomhom,1,91,1,147
CANN,2014-08-02,2014-03-26,2014-08-02,CryptoSpecs,1,14,1,129
YAC,2013-06-09,2013-01-01,2013-06-09,xorxor,1,352,9,159
BITUSD,2014-09-23,2014-02-24,2014-09-23,CLains,1,150,12,484
DCR,2015-08-29,2015-08-18,2015-08-29,Gladimor,1,264,3,514
RIC,2014-02-27,2013-09-05,2014-02-27,gatra,1,115,5,243
COV,2015-04-21,2015-04-19,2015-04-21,CovenDev,1,17,2,2
FRAC,2014-06-15,2014-06-12,2014-06-15,Fractalcoin,1,1,1,3
HAM,2014-10-26,2014-07-03,2014-10-26,hamhrc,1,43,1,115
SONG,2015-03-22,2014-09-23,2015-03-22,MicroGuy,1,1234,104,703
BOST,2014-05-30,2014-05-09,2014-05-30,mammix2,1,436,13,92
BOT,2015-09-08,2015-08-31,2015-09-08,Walter Botcoin,1,9,1,8
KNC,2015-09-28,2015-08-22,2015-09-28,k0er,1,19,1,189
DASH,2014-02-14,2011-12-05,2014-02-14,ThiagoCMC,1,346,18,964
TRMB,2015-05-25,2015-06-30,2015-05-25,godda04,1,181,0,314
THC,2014-06-28,2014-03-01,2014-06-28,MiningSensei,1,96,6,119
CETI,2015-01-31,2014-09-21,2015-01-31,optigon,1,380,3,296
PHO,2014-05-23,2013-10-07,2014-05-23,BlueDragon747,1,387,3,276
BURST,2014-08-30,2010-08-03,2014-08-30,NuAngel,1,3,1,1488
ZEIT,2014-03-20,2014-02-14,2014-03-20,ZEITCOIN,1,182,2,34
SWIFT,2014-10-05,2014-09-29,2014-10-05,BitSwift,1,46,2,6
SYS,2014-08-20,2014-04-27,2014-08-20,danosphere,1,341,20,232
HIRO,2014-03-26,2014-03-07,2014-03-26,bonesoul,1,16,2,62
TRBO,2015-10-30,2015-10-08,2015-10-30,CryptoWiz420,1,56,2,145
LXC,2014-08-05,2014-07-21,2014-08-05,Librexcoindev,1,55,1,15
MZC,2014-02-27,2014-02-22,2014-02-27,dbbit,1,64,5,109
NAV,2014-06-12,2014-05-26,2014-06-12,GREEDYJOHN,1,342,6,138
