coin,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
MOTO,2014-06-03,2014-05-01,2014-06-03,WilliamLie2,1,84,2,33
SHF,2015-09-05,2014-03-02,2015-09-05,Coinshift,1,58,1,552
RT2,2014-03-29,2014-03-15,2014-03-29,Rotocoin,1,101,2,14
MONETA,2015-10-24,2014-06-15,2015-10-24,cryptomidnight,1,107,3,496
VTR,2014-12-24,2014-12-11,2014-12-24,vtorrent,1,73,1,13
CAGE,2014-04-15,2014-01-01,2014-04-15,Nicolas_Cage,1,19,3,104
BTX,2015-04-26,2015-04-27,2015-04-26,placebo,1,5507,153,475
LEAF,2014-02-02,2014-01-24,2014-02-02,mcg,1,118,7,37
BTS,2014-07-20,2014-02-24,2014-07-20,CLains,1,96,8,419
XCE,2015-06-10,2015-06-06,2015-06-10,Cerium,1,21,1,4
XCH,2014-10-04,2014-08-11,2014-10-04,btcdrak,1,406,9,488
DOGE,2013-12-15,2013-12-08,2013-12-15,Dogecoin,1,24,2,7
XCN,2014-08-02,2013-12-30,2014-08-02,x_Coin,1,5,2,215
XCO,2015-03-05,2014-01-26,2015-03-05,eduffield,1,210,15,637
MOON,2014-01-06,2013-05-27,2014-01-06,muddafudda,1,919,31,255
BTE,2013-05-10,2013-04-02,2013-05-10,Gerco,1,27,1,76
BTG,2013-07-04,2013-05-16,2013-07-04,mineral,1,108,2,49
BTA,2015-05-29,2015-04-28,2015-05-29,pc888,1,260,4,453
BTC,2013-04-28,2011-06-10,2013-04-28,Alex Zee,1,91,5,688
BTB,2013-05-09,2013-05-02,2013-05-09,xorxor,1,307,8,128
SSD,2014-08-12,2013-12-26,2014-08-12,speedminer,1,68,5,232
LTD,2015-09-15,2015-09-11,2015-09-15,LimitedDev,1,13,1,8
JBS,2014-09-07,2014-09-01,2014-09-07,jyap,1,24,1,113
INDEX,2015-06-18,2014-01-06,2015-06-18,efanucar,1,1,1,528
