coin_name,coin_symbol,first_date_price
PinkCoin,PINK,2014-05-11
ParkByte,PKB,2015-05-18
PlanetCoin,PLANET,2015-03-22
Polcoin,PLC2,2014-04-11
PLNcoin,PLNC,2014-04-15
PLAY,PLS,2015-10-12
PreminePlus,PMP,2014-10-20
Pandacoin,PND,2014-02-27
Polybit,POLY,2015-06-26
PopularCoin,POP,2014-04-23
PotCoin,POT,2014-02-10
Peercoin,PPC,2013-04-28
Prototanium,PR,2015-10-12
ProsperCoin,PRC,2014-02-20
PrimeChain,PRIME,2015-09-14
Privatebet,Privatebet,2014-10-04
ProsperityCoin,PRO,2015-04-27
Particle,PRT,2014-01-22
PseudoCash,PSEUD,2014-07-21
Pesetacoin,PTC,2014-02-22
BitShares PTS,PTS,2013-11-21
PurePOS,PURE,2015-08-23
Phoenixcoin,PXC,2013-07-04
Prime-XI,PXI,2014-10-04
Phalanx,PXL,2015-04-07
Paycoin,PYC,2014-12-06
Quarkbar,QB,2014-05-26
Qibuck,QBK,2014-08-17
QuazarCoin,QCN,2014-05-26
Qora,QORA,2014-05-26
Quark,QRK,2013-08-25
Quicksilver,QSLV,2014-11-13
Quatloo,QTL,2014-07-12
RabbitCoin,RBBT,2014-08-30
RibbitRewards,RBR,2015-01-23
Rimbit,RBT,2014-10-26
Rubycoin,RBY,2014-03-20
ReddCoin,RDD,2014-02-09
RedCoin,RED,2014-01-24
Riecoin,RIC,2014-02-27
Ringo,RIN,2014-08-02
RipoffCoin,RIPO,2014-08-23
Resumeo Shares,RMS,2015-10-08
RosCoin,ROS,2014-09-30
ROXcoin,ROX,2014-07-01
RonPaulCoin,RPC,2014-01-06
RotoCoin,RT2,2014-03-29
Razor,RZR,2014-06-21
Sharkcoin,SAK,2015-03-08
Save and Gain,SANDG,2015-10-12
Saturn2Coin,SAT2,2014-07-05
StableCoin,SBC,2013-07-07
SmartChips,SC,2015-05-06
ShadowCash,SDC,2014-07-31
SydPak,SDP,2015-08-23
sharkfund0,SF0,2014-09-14
SaffronCoin,SFR,2014-06-15
SHACoin,SHA,2014-06-25
ShadeCoin,SHADE,2014-09-06
ShellPay,SHELL,2015-06-18
Shift,SHF,2015-09-05
ShibeCoin,SHIBE,2014-05-06
ShieldCoin,SHLD,2014-07-12
SIBCoin,SIB,2015-09-25
Silkcoin,SILK,2014-05-11
Storjcoin X,SJCX,2014-08-20
SJWCoin,SJW,2015-08-07
Skeincoin,SKC,2014-03-15
SkyNET,SKYNET,2014-12-13
Selfiecoin,SLFI,2015-03-22
Sterlingcoin,SLG,2014-09-23
Sling,SLING,2015-04-21
SolarCoin,SLR,2014-03-29
Sembro Token,SMBR,2014-10-20
SmartCoin,SMC,2014-02-06
SmileyCoin,SMLY,2015-01-28
Synergy,SNRG,2015-06-08
Solcoin,SOL,2014-09-07
Solecoin,SOLE,2014-08-21
SongCoin,SONG,2015-03-22
SoonCoin,SOON,2015-01-28
SpainCoin,SPA,2014-03-15
SpaceCoin,SPACE,2015-09-09
SpikesPrivateCoin,SPC,2015-08-04
SPEC,SPEC,2015-07-27
Sphere,SPHR,2015-05-02
SpreadCoin,SPR,2014-10-26
Sprouts,SPRTS,2015-07-21
Spots,SPT,2013-07-25
SecureCoin,SRC,2013-09-28
SonicScrewdriver,SSD,2014-08-12
SSVCoin,SSV,2014-09-07
Startcoin,START,2014-06-15
Steps,STEPS,2015-09-19
Stakerush,STHR,2015-09-14
StarCoin,STR,2014-02-02
SuperCoin,SUPER,2014-05-26
Swarm,SWARM,2014-09-16
BitSwift,SWIFT,2014-10-05
Swing,SWING,2015-09-28
Sexcoin,SXC,2013-12-08
