symbol,name,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
PND,Pandacoin,2014-02-27,2013-12-21,lololol3,https://bitcointalk.org/index.php?topic=379925.0,2013-12-21
PIGGY,Piggycoin,2014-06-15,2014-02-25,piggycoin,https://bitcointalk.org/index.php?topic=487017.0,2014-02-25
XXX,XxXcoin,2014-07-03,2013-09-24,fendlestick,https://bitcointalk.org/index.php?topic=300570.0,2013-09-24
XQN,Quotient,2014-11-23,2014-11-11,CedricQuotient,https://bitcointalk.org/index.php?topic=854299.0,2014-11-11
MIN,Mineralscoin,2014-06-21,2011-05-19,ptd,https://bitcointalk.org/index.php?topic=8918.0,2011-05-19
LIT,Lightcoin,2014-07-05,2013-04-07,lucky1064,https://bitcointalk.org/index.php?topic=169373.0,2013-04-07
GHC,GamerholicCoin,2014-10-10,2014-03-10,Ghostcoins,https://bitcointalk.org/index.php?topic=509522.0,2014-03-10
XUP,UPcoin,2015-09-22,2014-10-18,UpcoinProject,https://bitcointalk.org/index.php?topic=827547.0,2014-10-18
ZNY,Bitzeny,2015-07-09,2014-11-07,bitzeny,https://bitcointalk.org/index.php?topic=849994.0,2014-11-07
SAK,Sharkcoin,2015-03-08,2014-04-30,ouchmefoot,https://bitcointalk.org/index.php?topic=590568.0,2014-04-30
PRC,ProsperCoin,2014-02-20,2013-12-30,customxyz,https://bitcointalk.org/index.php?topic=391469.0,2013-12-30
MEOW,Kittehcoin,2014-01-24,2013-12-21,kr105,https://bitcointalk.org/index.php?topic=380130.0,2013-12-21
PRT,Particle,2014-01-22,2013-12-31,moonmoon,https://bitcointalk.org/index.php?topic=392804.0,2013-12-31
CHA,Chancecoin,2014-05-20,2014-02-04,cancercoin4cure,https://bitcointalk.org/index.php?topic=448269.0,2014-02-04
CHC,ChainCoin,2015-07-16,2013-05-17,BitJohn,https://bitcointalk.org/index.php?topic=207937.0,2013-05-17
MRY,Murraycoin,2014-03-03,2014-01-20,bholzer,https://bitcointalk.org/index.php?topic=424179.0,2014-01-20
JAY,Jay,2015-04-17,2012-12-19,Benson Samuel,https://bitcointalk.org/index.php?topic=131642.0,2012-12-19
MMNXT,MMNXT,2014-10-22,2014-11-10,sasha35625,https://bitcointalk.org/index.php?topic=853523.0,2014-11-10
URO,Uro,2014-06-12,2014-01-27,ubi4doges,https://bitcointalk.org/index.php?topic=434897.0,2014-01-27
MRS,Marscoin,2014-02-24,2014-01-15,Btcdealer5011,https://bitcointalk.org/index.php?topic=416486.0,2014-01-15
020,020LondonCoin,2015-09-15,2014-03-07,vindyne8,https://bitcointalk.org/index.php?topic=505730.0,2014-03-07
QBK,Qibuck,2014-08-17,2014-07-09,ABC Dev Team,https://bitcointalk.org/index.php?topic=682939.0,2014-07-09
DIGS,Diggits,2015-07-16,2015-07-03,DIGGITSquad,https://bitcointalk.org/index.php?topic=1107592.0,2015-07-03
MRC,microCoin,2014-03-03,2014-01-03,MCR,https://bitcointalk.org/index.php?topic=397679.0,2014-01-03
UTIL,UtilityCoin,2014-09-30,2014-09-26,utilitycoin,https://bitcointalk.org/index.php?topic=797900.0,2014-09-26
VIA,Viacoin,2014-07-18,2010-11-19,Bruce Wagner,https://bitcointalk.org/index.php?topic=1845.0,2010-11-19
DBL,Doubloons,2013-07-04,2013-05-15,shakezula,https://bitcointalk.org/index.php?topic=206361.0,2013-05-15
SFR,SaffronCoin,2014-06-15,2014-04-27,saffroncoin,https://bitcointalk.org/index.php?topic=586320.0,2014-04-27
8BIT,8Bit,2015-04-18,2014-02-18,Cryptocables,https://bitcointalk.org/index.php?topic=473516.0,2014-02-18
APC,Applecoin,2014-02-09,2013-05-31,Charles999,https://bitcointalk.org/index.php?topic=221166.0,2013-05-31
NIRO,Nexus,2015-01-25,2013-06-08,KeyserSoze,https://bitcointalk.org/index.php?topic=228703.0,2013-06-08
PYC,Paycoin,2014-12-06,2013-08-06,deppJ,https://bitcointalk.org/index.php?topic=268941.0,2013-08-06
GREXIT,Grexit,2015-07-23,2015-06-17,Nxtblg,https://bitcointalk.org/index.php?topic=1092118.0,2015-06-17
XLM,Stellar,2014-08-05,2014-07-31,HostFat,https://bitcointalk.org/index.php?topic=719019.0,2014-07-31
KORE,KoreCoin,2014-06-21,2014-06-15,KoreCoin,https://bitcointalk.org/index.php?topic=652700.0,2014-06-15
FRDC,FreedomCoin,2015-09-21,2014-01-02,datguys,https://bitcointalk.org/index.php?topic=395971.0,2014-01-02
XLB,Libertycoin,2014-05-13,2014-01-03,wEEcoIn,https://bitcointalk.org/index.php?topic=397483.0,2014-01-03
NXTCOINSCO,Tradebots,2014-10-04,2015-10-13,MadCow,https://bitcointalk.org/index.php?topic=1207899.0,2015-10-13
IFC,Infinitecoin,2013-07-10,2013-06-05,fisheater,https://bitcointalk.org/index.php?topic=225891.0,2013-06-05
NEU,NeuCoin,2015-09-25,2014-01-05,Neutronic,https://bitcointalk.org/index.php?topic=399812.0,2014-01-05
