coin,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
UNB,2014-05-23,2014-03-27,jimblasko,https://bitcointalk.org/index.php?topic=539945.0,2014-03-27
UNC,2015-03-22,2013-12-10,dr_chen,https://bitcointalk.org/index.php?topic=365399.0,2013-12-10
CARB,2014-08-02,2014-03-06,axismundi,https://bitcointalk.org/index.php?topic=504157.0,2014-03-06
CLV,2015-05-13,2015-05-08,clevercryptodev,https://bitcointalk.org/index.php?topic=1054615.0,2015-05-08
BBR,2014-06-24,2014-07-05,silvo,https://bitcointalk.org/index.php?topic=678237.0,2014-07-05
CLR,2013-11-03,2013-08-05,vipah,https://bitcointalk.org/index.php?topic=268241.0,2013-08-05
UNO,2013-12-21,2013-10-17,Blazr2,https://bitcointalk.org/index.php?topic=313126.0,2013-10-17
OMC,2014-05-11,2014-03-28,OSRSGold,https://bitcointalk.org/index.php?topic=543740.0,2014-03-28
ZED,2014-03-06,2014-01-17,YourMine.org,https://bitcointalk.org/index.php?topic=420729.0,2014-01-17
HVC,2014-03-12,2013-12-30,1gh,https://bitcointalk.org/index.php?topic=392322.0,2013-12-30
